,density,Run,Densidade,Intensidade do Vento,Umidade do Ar,height,width,air_humidity,wind_force
0,0.65,0,0.65,0.1,0.95,100,100,0.95,0.1
1,0.65,1,0.65,0.1,0.95,100,100,0.95,0.1
2,0.75,2,0.75,0.1,0.95,100,100,0.95,0.1
3,0.75,3,0.75,0.1,0.95,100,100,0.95,0.1
4,0.85,4,0.85,0.1,0.95,100,100,0.95,0.1
5,0.85,5,0.85,0.1,0.95,100,100,0.95,0.1
6,0.95,6,0.95,0.1,0.95,100,100,0.95,0.1
7,0.95,7,0.95,0.1,0.95,100,100,0.95,0.1
