,density,Run,AgentId,Posição,height,width,air_humidity,wind_force
4291,0.65,0,"(65, 90)","(65, 90)",100,100,0.95,0.1
4290,0.65,0,"(65, 89)","(65, 89)",100,100,0.95,0.1
4289,0.65,0,"(65, 87)","(65, 87)",100,100,0.95,0.1
4288,0.65,0,"(65, 84)","(65, 84)",100,100,0.95,0.1
4287,0.65,0,"(65, 83)","(65, 83)",100,100,0.95,0.1
4286,0.65,0,"(65, 82)","(65, 82)",100,100,0.95,0.1
4285,0.65,0,"(65, 81)","(65, 81)",100,100,0.95,0.1
4284,0.65,0,"(65, 80)","(65, 80)",100,100,0.95,0.1
4283,0.65,0,"(65, 79)","(65, 79)",100,100,0.95,0.1
4282,0.65,0,"(65, 77)","(65, 77)",100,100,0.95,0.1
4292,0.65,0,"(65, 91)","(65, 91)",100,100,0.95,0.1
4256,0.65,0,"(65, 33)","(65, 33)",100,100,0.95,0.1
4355,0.65,0,"(66, 81)","(66, 81)",100,100,0.95,0.1
4357,0.65,0,"(66, 86)","(66, 86)",100,100,0.95,0.1
4429,0.65,0,"(68, 14)","(68, 14)",100,100,0.95,0.1
4428,0.65,0,"(68, 13)","(68, 13)",100,100,0.95,0.1
4427,0.65,0,"(68, 11)","(68, 11)",100,100,0.95,0.1
4426,0.65,0,"(68, 10)","(68, 10)",100,100,0.95,0.1
4425,0.65,0,"(68, 9)","(68, 9)",100,100,0.95,0.1
4424,0.65,0,"(68, 7)","(68, 7)",100,100,0.95,0.1
4423,0.65,0,"(68, 6)","(68, 6)",100,100,0.95,0.1
4422,0.65,0,"(68, 5)","(68, 5)",100,100,0.95,0.1
4421,0.65,0,"(68, 3)","(68, 3)",100,100,0.95,0.1
4420,0.65,0,"(68, 2)","(68, 2)",100,100,0.95,0.1
4419,0.65,0,"(68, 1)","(68, 1)",100,100,0.95,0.1
4418,0.65,0,"(68, 0)","(68, 0)",100,100,0.95,0.1
4417,0.65,0,"(67, 99)","(67, 99)",100,100,0.95,0.1
4416,0.65,0,"(67, 98)","(67, 98)",100,100,0.95,0.1
4415,0.65,0,"(67, 96)","(67, 96)",100,100,0.95,0.1
4414,0.65,0,"(67, 95)","(67, 95)",100,100,0.95,0.1
4413,0.65,0,"(67, 91)","(67, 91)",100,100,0.95,0.1
4412,0.65,0,"(67, 90)","(67, 90)",100,100,0.95,0.1
4411,0.65,0,"(67, 88)","(67, 88)",100,100,0.95,0.1
4410,0.65,0,"(67, 87)","(67, 87)",100,100,0.95,0.1
4409,0.65,0,"(67, 85)","(67, 85)",100,100,0.95,0.1
4430,0.65,0,"(68, 15)","(68, 15)",100,100,0.95,0.1
4408,0.65,0,"(67, 84)","(67, 84)",100,100,0.95,0.1
4431,0.65,0,"(68, 17)","(68, 17)",100,100,0.95,0.1
4433,0.65,0,"(68, 22)","(68, 22)",100,100,0.95,0.1
4454,0.65,0,"(68, 49)","(68, 49)",100,100,0.95,0.1
4453,0.65,0,"(68, 48)","(68, 48)",100,100,0.95,0.1
4452,0.65,0,"(68, 47)","(68, 47)",100,100,0.95,0.1
4451,0.65,0,"(68, 46)","(68, 46)",100,100,0.95,0.1
4450,0.65,0,"(68, 45)","(68, 45)",100,100,0.95,0.1
4449,0.65,0,"(68, 41)","(68, 41)",100,100,0.95,0.1
4448,0.65,0,"(68, 40)","(68, 40)",100,100,0.95,0.1
4447,0.65,0,"(68, 39)","(68, 39)",100,100,0.95,0.1
4446,0.65,0,"(68, 38)","(68, 38)",100,100,0.95,0.1
4445,0.65,0,"(68, 37)","(68, 37)",100,100,0.95,0.1
4444,0.65,0,"(68, 35)","(68, 35)",100,100,0.95,0.1
4443,0.65,0,"(68, 33)","(68, 33)",100,100,0.95,0.1
4442,0.65,0,"(68, 31)","(68, 31)",100,100,0.95,0.1
4441,0.65,0,"(68, 30)","(68, 30)",100,100,0.95,0.1
4440,0.65,0,"(68, 29)","(68, 29)",100,100,0.95,0.1
4439,0.65,0,"(68, 28)","(68, 28)",100,100,0.95,0.1
4438,0.65,0,"(68, 27)","(68, 27)",100,100,0.95,0.1
4437,0.65,0,"(68, 26)","(68, 26)",100,100,0.95,0.1
4436,0.65,0,"(68, 25)","(68, 25)",100,100,0.95,0.1
4435,0.65,0,"(68, 24)","(68, 24)",100,100,0.95,0.1
4434,0.65,0,"(68, 23)","(68, 23)",100,100,0.95,0.1
4432,0.65,0,"(68, 18)","(68, 18)",100,100,0.95,0.1
4407,0.65,0,"(67, 83)","(67, 83)",100,100,0.95,0.1
4406,0.65,0,"(67, 80)","(67, 80)",100,100,0.95,0.1
