,density,Run,Bombeiro,Densidade,height,width,fireman
0,0.65,0,0.9,0.65,100,100,0.9
1,0.65,1,0.9,0.65,100,100,0.9
2,0.75,2,0.9,0.75,100,100,0.9
3,0.75,3,0.9,0.75,100,100,0.9
4,0.85,4,0.9,0.85,100,100,0.9
5,0.85,5,0.9,0.85,100,100,0.9
6,0.95,6,0.9,0.95,100,100,0.9
7,0.95,7,0.9,0.95,100,100,0.9
