,density,Run,Bombeiro,Densidade,height,width,fireman
0,0.65,0,0.65,0.65,100,100,0.65
1,0.65,1,0.65,0.65,100,100,0.65
2,0.75,2,0.65,0.75,100,100,0.65
3,0.75,3,0.65,0.75,100,100,0.65
4,0.85,4,0.65,0.85,100,100,0.65
5,0.85,5,0.65,0.85,100,100,0.65
6,0.95,6,0.65,0.95,100,100,0.65
7,0.95,7,0.65,0.95,100,100,0.65
