,density,Run,Bombeiro,Densidade,height,width,fireman
0,0.65,0,0.8,0.65,100,100,0.8
1,0.65,1,0.8,0.65,100,100,0.8
2,0.75,2,0.8,0.75,100,100,0.8
3,0.75,3,0.8,0.75,100,100,0.8
4,0.85,4,0.8,0.85,100,100,0.8
5,0.85,5,0.8,0.85,100,100,0.8
6,0.95,6,0.8,0.95,100,100,0.8
7,0.95,7,0.8,0.95,100,100,0.8
