,density,Run,AgentId,Posição,height,width,fireman
0,0.65,0,"(0, 1)","(0, 1)",100,100,0.3
4320,0.65,0,"(66, 81)","(66, 81)",100,100,0.3
4319,0.65,0,"(66, 80)","(66, 80)",100,100,0.3
4318,0.65,0,"(66, 79)","(66, 79)",100,100,0.3
4317,0.65,0,"(66, 78)","(66, 78)",100,100,0.3
4316,0.65,0,"(66, 77)","(66, 77)",100,100,0.3
4315,0.65,0,"(66, 76)","(66, 76)",100,100,0.3
4314,0.65,0,"(66, 75)","(66, 75)",100,100,0.3
4313,0.65,0,"(66, 74)","(66, 74)",100,100,0.3
4312,0.65,0,"(66, 73)","(66, 73)",100,100,0.3
4311,0.65,0,"(66, 72)","(66, 72)",100,100,0.3
4310,0.65,0,"(66, 70)","(66, 70)",100,100,0.3
4309,0.65,0,"(66, 68)","(66, 68)",100,100,0.3
4308,0.65,0,"(66, 67)","(66, 67)",100,100,0.3
4307,0.65,0,"(66, 66)","(66, 66)",100,100,0.3
4306,0.65,0,"(66, 64)","(66, 64)",100,100,0.3
4305,0.65,0,"(66, 63)","(66, 63)",100,100,0.3
4304,0.65,0,"(66, 62)","(66, 62)",100,100,0.3
4303,0.65,0,"(66, 57)","(66, 57)",100,100,0.3
4302,0.65,0,"(66, 55)","(66, 55)",100,100,0.3
4301,0.65,0,"(66, 54)","(66, 54)",100,100,0.3
4300,0.65,0,"(66, 51)","(66, 51)",100,100,0.3
4321,0.65,0,"(66, 82)","(66, 82)",100,100,0.3
4299,0.65,0,"(66, 50)","(66, 50)",100,100,0.3
4322,0.65,0,"(66, 83)","(66, 83)",100,100,0.3
4324,0.65,0,"(66, 89)","(66, 89)",100,100,0.3
4345,0.65,0,"(67, 14)","(67, 14)",100,100,0.3
4344,0.65,0,"(67, 13)","(67, 13)",100,100,0.3
4343,0.65,0,"(67, 12)","(67, 12)",100,100,0.3
4342,0.65,0,"(67, 11)","(67, 11)",100,100,0.3
4341,0.65,0,"(67, 10)","(67, 10)",100,100,0.3
4340,0.65,0,"(67, 9)","(67, 9)",100,100,0.3
4339,0.65,0,"(67, 8)","(67, 8)",100,100,0.3
4338,0.65,0,"(67, 7)","(67, 7)",100,100,0.3
4337,0.65,0,"(67, 6)","(67, 6)",100,100,0.3
4336,0.65,0,"(67, 5)","(67, 5)",100,100,0.3
4335,0.65,0,"(67, 4)","(67, 4)",100,100,0.3
4334,0.65,0,"(67, 3)","(67, 3)",100,100,0.3
4333,0.65,0,"(67, 1)","(67, 1)",100,100,0.3
4332,0.65,0,"(66, 98)","(66, 98)",100,100,0.3
4331,0.65,0,"(66, 97)","(66, 97)",100,100,0.3
4330,0.65,0,"(66, 96)","(66, 96)",100,100,0.3
4329,0.65,0,"(66, 94)","(66, 94)",100,100,0.3
4328,0.65,0,"(66, 93)","(66, 93)",100,100,0.3
4327,0.65,0,"(66, 92)","(66, 92)",100,100,0.3
4326,0.65,0,"(66, 91)","(66, 91)",100,100,0.3
4325,0.65,0,"(66, 90)","(66, 90)",100,100,0.3
4323,0.65,0,"(66, 84)","(66, 84)",100,100,0.3
4298,0.65,0,"(66, 49)","(66, 49)",100,100,0.3
4297,0.65,0,"(66, 47)","(66, 47)",100,100,0.3
4296,0.65,0,"(66, 45)","(66, 45)",100,100,0.3
4269,0.65,0,"(66, 4)","(66, 4)",100,100,0.3
4268,0.65,0,"(66, 3)","(66, 3)",100,100,0.3
4267,0.65,0,"(66, 1)","(66, 1)",100,100,0.3
4266,0.65,0,"(66, 0)","(66, 0)",100,100,0.3
4265,0.65,0,"(65, 98)","(65, 98)",100,100,0.3
4264,0.65,0,"(65, 96)","(65, 96)",100,100,0.3
4263,0.65,0,"(65, 94)","(65, 94)",100,100,0.3
4262,0.65,0,"(65, 93)","(65, 93)",100,100,0.3
4261,0.65,0,"(65, 91)","(65, 91)",100,100,0.3
4260,0.65,0,"(65, 90)","(65, 90)",100,100,0.3
4259,0.65,0,"(65, 89)","(65, 89)",100,100,0.3
4258,0.65,0,"(65, 88)","(65, 88)",100,100,0.3
4257,0.65,0,"(65, 87)","(65, 87)",100,100,0.3
4256,0.65,0,"(65, 86)","(65, 86)",100,100,0.3
4255,0.65,0,"(65, 85)","(65, 85)",100,100,0.3
4254,0.65,0,"(65, 84)","(65, 84)",100,100,0.3
4253,0.65,0,"(65, 82)","(65, 82)",100,100,0.3
4252,0.65,0,"(65, 81)","(65, 81)",100,100,0.3
4251,0.65,0,"(65, 79)","(65, 79)",100,100,0.3
4250,0.65,0,"(65, 78)","(65, 78)",100,100,0.3
4249,0.65,0,"(65, 77)","(65, 77)",100,100,0.3
4270,0.65,0,"(66, 6)","(66, 6)",100,100,0.3
4271,0.65,0,"(66, 8)","(66, 8)",100,100,0.3
4272,0.65,0,"(66, 10)","(66, 10)",100,100,0.3
4273,0.65,0,"(66, 12)","(66, 12)",100,100,0.3
4295,0.65,0,"(66, 44)","(66, 44)",100,100,0.3
4294,0.65,0,"(66, 43)","(66, 43)",100,100,0.3
4293,0.65,0,"(66, 42)","(66, 42)",100,100,0.3
4292,0.65,0,"(66, 41)","(66, 41)",100,100,0.3
4291,0.65,0,"(66, 37)","(66, 37)",100,100,0.3
4290,0.65,0,"(66, 36)","(66, 36)",100,100,0.3
4289,0.65,0,"(66, 35)","(66, 35)",100,100,0.3
4288,0.65,0,"(66, 32)","(66, 32)",100,100,0.3
4287,0.65,0,"(66, 31)","(66, 31)",100,100,0.3
4286,0.65,0,"(66, 30)","(66, 30)",100,100,0.3
4346,0.65,0,"(67, 16)","(67, 16)",100,100,0.3
4285,0.65,0,"(66, 29)","(66, 29)",100,100,0.3
4283,0.65,0,"(66, 26)","(66, 26)",100,100,0.3
4282,0.65,0,"(66, 25)","(66, 25)",100,100,0.3
4281,0.65,0,"(66, 24)","(66, 24)",100,100,0.3
4280,0.65,0,"(66, 22)","(66, 22)",100,100,0.3
4279,0.65,0,"(66, 21)","(66, 21)",100,100,0.3
4278,0.65,0,"(66, 19)","(66, 19)",100,100,0.3
4277,0.65,0,"(66, 18)","(66, 18)",100,100,0.3
4276,0.65,0,"(66, 17)","(66, 17)",100,100,0.3
4275,0.65,0,"(66, 16)","(66, 16)",100,100,0.3
4274,0.65,0,"(66, 13)","(66, 13)",100,100,0.3
4284,0.65,0,"(66, 27)","(66, 27)",100,100,0.3
4248,0.65,0,"(65, 74)","(65, 74)",100,100,0.3
4347,0.65,0,"(67, 17)","(67, 17)",100,100,0.3
4349,0.65,0,"(67, 19)","(67, 19)",100,100,0.3
4421,0.65,0,"(68, 30)","(68, 30)",100,100,0.3
4420,0.65,0,"(68, 29)","(68, 29)",100,100,0.3
4419,0.65,0,"(68, 28)","(68, 28)",100,100,0.3
4418,0.65,0,"(68, 27)","(68, 27)",100,100,0.3
4417,0.65,0,"(68, 26)","(68, 26)",100,100,0.3
4416,0.65,0,"(68, 25)","(68, 25)",100,100,0.3
4415,0.65,0,"(68, 24)","(68, 24)",100,100,0.3
4414,0.65,0,"(68, 21)","(68, 21)",100,100,0.3
4413,0.65,0,"(68, 20)","(68, 20)",100,100,0.3
4412,0.65,0,"(68, 16)","(68, 16)",100,100,0.3
4411,0.65,0,"(68, 15)","(68, 15)",100,100,0.3
4410,0.65,0,"(68, 14)","(68, 14)",100,100,0.3
4409,0.65,0,"(68, 11)","(68, 11)",100,100,0.3
4408,0.65,0,"(68, 10)","(68, 10)",100,100,0.3
4407,0.65,0,"(68, 9)","(68, 9)",100,100,0.3
4406,0.65,0,"(68, 7)","(68, 7)",100,100,0.3
4405,0.65,0,"(68, 5)","(68, 5)",100,100,0.3
4404,0.65,0,"(68, 4)","(68, 4)",100,100,0.3
4403,0.65,0,"(68, 3)","(68, 3)",100,100,0.3
4402,0.65,0,"(68, 1)","(68, 1)",100,100,0.3
4401,0.65,0,"(68, 0)","(68, 0)",100,100,0.3
4422,0.65,0,"(68, 32)","(68, 32)",100,100,0.3
4400,0.65,0,"(67, 99)","(67, 99)",100,100,0.3
4423,0.65,0,"(68, 33)","(68, 33)",100,100,0.3
4425,0.65,0,"(68, 35)","(68, 35)",100,100,0.3
4446,0.65,0,"(68, 63)","(68, 63)",100,100,0.3
4445,0.65,0,"(68, 62)","(68, 62)",100,100,0.3
4444,0.65,0,"(68, 60)","(68, 60)",100,100,0.3
