,density,Run,Bombeiro,Densidade,height,width,fireman
0,0.65,0,0.7,0.65,100,100,0.7
1,0.65,1,0.7,0.65,100,100,0.7
2,0.75,2,0.7,0.75,100,100,0.7
3,0.75,3,0.7,0.75,100,100,0.7
4,0.85,4,0.7,0.85,100,100,0.7
5,0.85,5,0.7,0.85,100,100,0.7
6,0.95,6,0.7,0.95,100,100,0.7
7,0.95,7,0.7,0.95,100,100,0.7
