,density,Run,AgentId,Posição,height,width,air_humidity,wind_force
0,0.65,0,"(0, 0)","(0, 0)",100,100,0.8,0.15
4339,0.65,0,"(66, 94)","(66, 94)",100,100,0.8,0.15
4338,0.65,0,"(66, 93)","(66, 93)",100,100,0.8,0.15
4337,0.65,0,"(66, 91)","(66, 91)",100,100,0.8,0.15
4336,0.65,0,"(66, 90)","(66, 90)",100,100,0.8,0.15
4335,0.65,0,"(66, 89)","(66, 89)",100,100,0.8,0.15
4334,0.65,0,"(66, 87)","(66, 87)",100,100,0.8,0.15
4333,0.65,0,"(66, 86)","(66, 86)",100,100,0.8,0.15
4332,0.65,0,"(66, 83)","(66, 83)",100,100,0.8,0.15
4331,0.65,0,"(66, 82)","(66, 82)",100,100,0.8,0.15
4330,0.65,0,"(66, 80)","(66, 80)",100,100,0.8,0.15
4329,0.65,0,"(66, 79)","(66, 79)",100,100,0.8,0.15
4328,0.65,0,"(66, 75)","(66, 75)",100,100,0.8,0.15
4327,0.65,0,"(66, 73)","(66, 73)",100,100,0.8,0.15
4326,0.65,0,"(66, 72)","(66, 72)",100,100,0.8,0.15
4325,0.65,0,"(66, 70)","(66, 70)",100,100,0.8,0.15
4324,0.65,0,"(66, 69)","(66, 69)",100,100,0.8,0.15
4323,0.65,0,"(66, 68)","(66, 68)",100,100,0.8,0.15
4322,0.65,0,"(66, 65)","(66, 65)",100,100,0.8,0.15
4321,0.65,0,"(66, 64)","(66, 64)",100,100,0.8,0.15
4320,0.65,0,"(66, 63)","(66, 63)",100,100,0.8,0.15
4319,0.65,0,"(66, 62)","(66, 62)",100,100,0.8,0.15
4340,0.65,0,"(66, 95)","(66, 95)",100,100,0.8,0.15
4318,0.65,0,"(66, 61)","(66, 61)",100,100,0.8,0.15
4341,0.65,0,"(66, 96)","(66, 96)",100,100,0.8,0.15
4343,0.65,0,"(66, 98)","(66, 98)",100,100,0.8,0.15
4364,0.65,0,"(67, 26)","(67, 26)",100,100,0.8,0.15
4363,0.65,0,"(67, 25)","(67, 25)",100,100,0.8,0.15
4362,0.65,0,"(67, 24)","(67, 24)",100,100,0.8,0.15
4361,0.65,0,"(67, 22)","(67, 22)",100,100,0.8,0.15
4360,0.65,0,"(67, 21)","(67, 21)",100,100,0.8,0.15
4359,0.65,0,"(67, 18)","(67, 18)",100,100,0.8,0.15
4358,0.65,0,"(67, 15)","(67, 15)",100,100,0.8,0.15
4357,0.65,0,"(67, 14)","(67, 14)",100,100,0.8,0.15
4356,0.65,0,"(67, 13)","(67, 13)",100,100,0.8,0.15
4355,0.65,0,"(67, 11)","(67, 11)",100,100,0.8,0.15
4354,0.65,0,"(67, 10)","(67, 10)",100,100,0.8,0.15
4353,0.65,0,"(67, 9)","(67, 9)",100,100,0.8,0.15
4352,0.65,0,"(67, 8)","(67, 8)",100,100,0.8,0.15
4351,0.65,0,"(67, 7)","(67, 7)",100,100,0.8,0.15
4350,0.65,0,"(67, 6)","(67, 6)",100,100,0.8,0.15
4349,0.65,0,"(67, 4)","(67, 4)",100,100,0.8,0.15
4348,0.65,0,"(67, 3)","(67, 3)",100,100,0.8,0.15
4347,0.65,0,"(67, 2)","(67, 2)",100,100,0.8,0.15
4346,0.65,0,"(67, 1)","(67, 1)",100,100,0.8,0.15
4345,0.65,0,"(67, 0)","(67, 0)",100,100,0.8,0.15
4344,0.65,0,"(66, 99)","(66, 99)",100,100,0.8,0.15
4342,0.65,0,"(66, 97)","(66, 97)",100,100,0.8,0.15
4317,0.65,0,"(66, 59)","(66, 59)",100,100,0.8,0.15
4316,0.65,0,"(66, 58)","(66, 58)",100,100,0.8,0.15
4315,0.65,0,"(66, 57)","(66, 57)",100,100,0.8,0.15
4288,0.65,0,"(66, 18)","(66, 18)",100,100,0.8,0.15
4287,0.65,0,"(66, 17)","(66, 17)",100,100,0.8,0.15
4286,0.65,0,"(66, 16)","(66, 16)",100,100,0.8,0.15
4285,0.65,0,"(66, 14)","(66, 14)",100,100,0.8,0.15
4284,0.65,0,"(66, 12)","(66, 12)",100,100,0.8,0.15
4283,0.65,0,"(66, 11)","(66, 11)",100,100,0.8,0.15
4282,0.65,0,"(66, 10)","(66, 10)",100,100,0.8,0.15
4281,0.65,0,"(66, 9)","(66, 9)",100,100,0.8,0.15
4280,0.65,0,"(66, 8)","(66, 8)",100,100,0.8,0.15
4279,0.65,0,"(66, 6)","(66, 6)",100,100,0.8,0.15
4278,0.65,0,"(66, 5)","(66, 5)",100,100,0.8,0.15
4277,0.65,0,"(66, 4)","(66, 4)",100,100,0.8,0.15
4276,0.65,0,"(66, 3)","(66, 3)",100,100,0.8,0.15
4275,0.65,0,"(66, 2)","(66, 2)",100,100,0.8,0.15
4274,0.65,0,"(66, 0)","(66, 0)",100,100,0.8,0.15
4273,0.65,0,"(65, 98)","(65, 98)",100,100,0.8,0.15
4272,0.65,0,"(65, 97)","(65, 97)",100,100,0.8,0.15
4271,0.65,0,"(65, 95)","(65, 95)",100,100,0.8,0.15
4270,0.65,0,"(65, 92)","(65, 92)",100,100,0.8,0.15
4269,0.65,0,"(65, 91)","(65, 91)",100,100,0.8,0.15
4268,0.65,0,"(65, 84)","(65, 84)",100,100,0.8,0.15
4289,0.65,0,"(66, 19)","(66, 19)",100,100,0.8,0.15
4290,0.65,0,"(66, 21)","(66, 21)",100,100,0.8,0.15
4291,0.65,0,"(66, 22)","(66, 22)",100,100,0.8,0.15
4292,0.65,0,"(66, 23)","(66, 23)",100,100,0.8,0.15
4314,0.65,0,"(66, 55)","(66, 55)",100,100,0.8,0.15
4313,0.65,0,"(66, 54)","(66, 54)",100,100,0.8,0.15
4312,0.65,0,"(66, 52)","(66, 52)",100,100,0.8,0.15
4311,0.65,0,"(66, 51)","(66, 51)",100,100,0.8,0.15
4310,0.65,0,"(66, 49)","(66, 49)",100,100,0.8,0.15
4309,0.65,0,"(66, 48)","(66, 48)",100,100,0.8,0.15
4308,0.65,0,"(66, 47)","(66, 47)",100,100,0.8,0.15
4307,0.65,0,"(66, 44)","(66, 44)",100,100,0.8,0.15
4306,0.65,0,"(66, 42)","(66, 42)",100,100,0.8,0.15
4305,0.65,0,"(66, 40)","(66, 40)",100,100,0.8,0.15
4365,0.65,0,"(67, 28)","(67, 28)",100,100,0.8,0.15
4304,0.65,0,"(66, 39)","(66, 39)",100,100,0.8,0.15
4302,0.65,0,"(66, 37)","(66, 37)",100,100,0.8,0.15
4301,0.65,0,"(66, 35)","(66, 35)",100,100,0.8,0.15
4300,0.65,0,"(66, 34)","(66, 34)",100,100,0.8,0.15
4299,0.65,0,"(66, 32)","(66, 32)",100,100,0.8,0.15
4298,0.65,0,"(66, 31)","(66, 31)",100,100,0.8,0.15
4297,0.65,0,"(66, 29)","(66, 29)",100,100,0.8,0.15
4296,0.65,0,"(66, 28)","(66, 28)",100,100,0.8,0.15
4295,0.65,0,"(66, 27)","(66, 27)",100,100,0.8,0.15
4294,0.65,0,"(66, 26)","(66, 26)",100,100,0.8,0.15
4293,0.65,0,"(66, 25)","(66, 25)",100,100,0.8,0.15
4303,0.65,0,"(66, 38)","(66, 38)",100,100,0.8,0.15
4366,0.65,0,"(67, 31)","(67, 31)",100,100,0.8,0.15
4367,0.65,0,"(67, 37)","(67, 37)",100,100,0.8,0.15
4368,0.65,0,"(67, 42)","(67, 42)",100,100,0.8,0.15
4440,0.65,0,"(68, 58)","(68, 58)",100,100,0.8,0.15
4439,0.65,0,"(68, 56)","(68, 56)",100,100,0.8,0.15
4438,0.65,0,"(68, 55)","(68, 55)",100,100,0.8,0.15
4437,0.65,0,"(68, 54)","(68, 54)",100,100,0.8,0.15
4436,0.65,0,"(68, 52)","(68, 52)",100,100,0.8,0.15
4435,0.65,0,"(68, 51)","(68, 51)",100,100,0.8,0.15
4434,0.65,0,"(68, 50)","(68, 50)",100,100,0.8,0.15
4433,0.65,0,"(68, 48)","(68, 48)",100,100,0.8,0.15
4432,0.65,0,"(68, 47)","(68, 47)",100,100,0.8,0.15
4431,0.65,0,"(68, 45)","(68, 45)",100,100,0.8,0.15
4430,0.65,0,"(68, 42)","(68, 42)",100,100,0.8,0.15
4429,0.65,0,"(68, 41)","(68, 41)",100,100,0.8,0.15
4428,0.65,0,"(68, 40)","(68, 40)",100,100,0.8,0.15
4427,0.65,0,"(68, 38)","(68, 38)",100,100,0.8,0.15
4426,0.65,0,"(68, 37)","(68, 37)",100,100,0.8,0.15
4425,0.65,0,"(68, 36)","(68, 36)",100,100,0.8,0.15
4424,0.65,0,"(68, 35)","(68, 35)",100,100,0.8,0.15
4423,0.65,0,"(68, 34)","(68, 34)",100,100,0.8,0.15
4422,0.65,0,"(68, 33)","(68, 33)",100,100,0.8,0.15
4421,0.65,0,"(68, 32)","(68, 32)",100,100,0.8,0.15
4420,0.65,0,"(68, 31)","(68, 31)",100,100,0.8,0.15
4441,0.65,0,"(68, 59)","(68, 59)",100,100,0.8,0.15
4442,0.65,0,"(68, 60)","(68, 60)",100,100,0.8,0.15
4443,0.65,0,"(68, 61)","(68, 61)",100,100,0.8,0.15
4444,0.65,0,"(68, 62)","(68, 62)",100,100,0.8,0.15
4466,0.65,0,"(68, 95)","(68, 95)",100,100,0.8,0.15
4465,0.65,0,"(68, 93)","(68, 93)",100,100,0.8,0.15
4464,0.65,0,"(68, 91)","(68, 91)",100,100,0.8,0.15
4463,0.65,0,"(68, 90)","(68, 90)",100,100,0.8,0.15
4462,0.65,0,"(68, 89)","(68, 89)",100,100,0.8,0.15
4461,0.65,0,"(68, 88)","(68, 88)",100,100,0.8,0.15
4460,0.65,0,"(68, 87)","(68, 87)",100,100,0.8,0.15
4459,0.65,0,"(68, 86)","(68, 86)",100,100,0.8,0.15
4458,0.65,0,"(68, 84)","(68, 84)",100,100,0.8,0.15
4457,0.65,0,"(68, 83)","(68, 83)",100,100,0.8,0.15
4419,0.65,0,"(68, 28)","(68, 28)",100,100,0.8,0.15
4456,0.65,0,"(68, 79)","(68, 79)",100,100,0.8,0.15
4454,0.65,0,"(68, 77)","(68, 77)",100,100,0.8,0.15
4453,0.65,0,"(68, 75)","(68, 75)",100,100,0.8,0.15
4452,0.65,0,"(68, 73)","(68, 73)",100,100,0.8,0.15
4451,0.65,0,"(68, 72)","(68, 72)",100,100,0.8,0.15
4450,0.65,0,"(68, 71)","(68, 71)",100,100,0.8,0.15
4449,0.65,0,"(68, 70)","(68, 70)",100,100,0.8,0.15
4448,0.65,0,"(68, 68)","(68, 68)",100,100,0.8,0.15
4447,0.65,0,"(68, 67)","(68, 67)",100,100,0.8,0.15
4446,0.65,0,"(68, 66)","(68, 66)",100,100,0.8,0.15
4445,0.65,0,"(68, 63)","(68, 63)",100,100,0.8,0.15
4455,0.65,0,"(68, 78)","(68, 78)",100,100,0.8,0.15
4267,0.65,0,"(65, 83)","(65, 83)",100,100,0.8,0.15
4418,0.65,0,"(68, 26)","(68, 26)",100,100,0.8,0.15
4416,0.65,0,"(68, 23)","(68, 23)",100,100,0.8,0.15
4389,0.65,0,"(67, 78)","(67, 78)",100,100,0.8,0.15
4388,0.65,0,"(67, 77)","(67, 77)",100,100,0.8,0.15
4387,0.65,0,"(67, 74)","(67, 74)",100,100,0.8,0.15
4386,0.65,0,"(67, 72)","(67, 72)",100,100,0.8,0.15
4385,0.65,0,"(67, 70)","(67, 70)",100,100,0.8,0.15
4384,0.65,0,"(67, 67)","(67, 67)",100,100,0.8,0.15
4383,0.65,0,"(67, 65)","(67, 65)",100,100,0.8,0.15
4382,0.65,0,"(67, 64)","(67, 64)",100,100,0.8,0.15
4381,0.65,0,"(67, 63)","(67, 63)",100,100,0.8,0.15
4380,0.65,0,"(67, 62)","(67, 62)",100,100,0.8,0.15
4379,0.65,0,"(67, 61)","(67, 61)",100,100,0.8,0.15
4378,0.65,0,"(67, 60)","(67, 60)",100,100,0.8,0.15
4377,0.65,0,"(67, 59)","(67, 59)",100,100,0.8,0.15
4376,0.65,0,"(67, 58)","(67, 58)",100,100,0.8,0.15
4375,0.65,0,"(67, 57)","(67, 57)",100,100,0.8,0.15
4374,0.65,0,"(67, 56)","(67, 56)",100,100,0.8,0.15
4373,0.65,0,"(67, 55)","(67, 55)",100,100,0.8,0.15
4372,0.65,0,"(67, 52)","(67, 52)",100,100,0.8,0.15
4371,0.65,0,"(67, 48)","(67, 48)",100,100,0.8,0.15
4370,0.65,0,"(67, 46)","(67, 46)",100,100,0.8,0.15
4369,0.65,0,"(67, 45)","(67, 45)",100,100,0.8,0.15
4390,0.65,0,"(67, 80)","(67, 80)",100,100,0.8,0.15
4391,0.65,0,"(67, 82)","(67, 82)",100,100,0.8,0.15
4392,0.65,0,"(67, 85)","(67, 85)",100,100,0.8,0.15
4393,0.65,0,"(67, 86)","(67, 86)",100,100,0.8,0.15
4415,0.65,0,"(68, 20)","(68, 20)",100,100,0.8,0.15
4414,0.65,0,"(68, 19)","(68, 19)",100,100,0.8,0.15
4413,0.65,0,"(68, 18)","(68, 18)",100,100,0.8,0.15
4412,0.65,0,"(68, 16)","(68, 16)",100,100,0.8,0.15
4411,0.65,0,"(68, 14)","(68, 14)",100,100,0.8,0.15
4410,0.65,0,"(68, 13)","(68, 13)",100,100,0.8,0.15
4409,0.65,0,"(68, 12)","(68, 12)",100,100,0.8,0.15
4408,0.65,0,"(68, 11)","(68, 11)",100,100,0.8,0.15
4407,0.65,0,"(68, 10)","(68, 10)",100,100,0.8,0.15
4406,0.65,0,"(68, 9)","(68, 9)",100,100,0.8,0.15
4417,0.65,0,"(68, 25)","(68, 25)",100,100,0.8,0.15
4405,0.65,0,"(68, 7)","(68, 7)",100,100,0.8,0.15
4403,0.65,0,"(68, 5)","(68, 5)",100,100,0.8,0.15
4402,0.65,0,"(68, 3)","(68, 3)",100,100,0.8,0.15
4401,0.65,0,"(68, 2)","(68, 2)",100,100,0.8,0.15
4400,0.65,0,"(68, 1)","(68, 1)",100,100,0.8,0.15
4399,0.65,0,"(67, 99)","(67, 99)",100,100,0.8,0.15
4398,0.65,0,"(67, 98)","(67, 98)",100,100,0.8,0.15
4397,0.65,0,"(67, 97)","(67, 97)",100,100,0.8,0.15
4396,0.65,0,"(67, 96)","(67, 96)",100,100,0.8,0.15
4395,0.65,0,"(67, 94)","(67, 94)",100,100,0.8,0.15
4394,0.65,0,"(67, 89)","(67, 89)",100,100,0.8,0.15
