,density,Run,AgentId,Posição,height,width,air_humidity,wind_force
0,0.65,0,"(0, 1)","(0, 1)",100,100,0.4,0.25
4352,0.65,0,"(67, 12)","(67, 12)",100,100,0.4,0.25
4351,0.65,0,"(67, 11)","(67, 11)",100,100,0.4,0.25
4350,0.65,0,"(67, 10)","(67, 10)",100,100,0.4,0.25
4349,0.65,0,"(67, 8)","(67, 8)",100,100,0.4,0.25
4348,0.65,0,"(67, 7)","(67, 7)",100,100,0.4,0.25
4347,0.65,0,"(67, 6)","(67, 6)",100,100,0.4,0.25
4346,0.65,0,"(67, 5)","(67, 5)",100,100,0.4,0.25
4345,0.65,0,"(67, 4)","(67, 4)",100,100,0.4,0.25
4344,0.65,0,"(67, 3)","(67, 3)",100,100,0.4,0.25
4343,0.65,0,"(67, 2)","(67, 2)",100,100,0.4,0.25
4342,0.65,0,"(67, 0)","(67, 0)",100,100,0.4,0.25
4341,0.65,0,"(66, 98)","(66, 98)",100,100,0.4,0.25
4340,0.65,0,"(66, 95)","(66, 95)",100,100,0.4,0.25
4339,0.65,0,"(66, 94)","(66, 94)",100,100,0.4,0.25
4338,0.65,0,"(66, 92)","(66, 92)",100,100,0.4,0.25
4337,0.65,0,"(66, 91)","(66, 91)",100,100,0.4,0.25
4336,0.65,0,"(66, 89)","(66, 89)",100,100,0.4,0.25
4335,0.65,0,"(66, 88)","(66, 88)",100,100,0.4,0.25
4334,0.65,0,"(66, 87)","(66, 87)",100,100,0.4,0.25
4333,0.65,0,"(66, 86)","(66, 86)",100,100,0.4,0.25
4332,0.65,0,"(66, 84)","(66, 84)",100,100,0.4,0.25
4353,0.65,0,"(67, 16)","(67, 16)",100,100,0.4,0.25
4331,0.65,0,"(66, 82)","(66, 82)",100,100,0.4,0.25
4354,0.65,0,"(67, 18)","(67, 18)",100,100,0.4,0.25
4356,0.65,0,"(67, 22)","(67, 22)",100,100,0.4,0.25
4377,0.65,0,"(67, 57)","(67, 57)",100,100,0.4,0.25
4376,0.65,0,"(67, 56)","(67, 56)",100,100,0.4,0.25
4375,0.65,0,"(67, 55)","(67, 55)",100,100,0.4,0.25
4374,0.65,0,"(67, 54)","(67, 54)",100,100,0.4,0.25
4373,0.65,0,"(67, 52)","(67, 52)",100,100,0.4,0.25
4372,0.65,0,"(67, 51)","(67, 51)",100,100,0.4,0.25
4371,0.65,0,"(67, 49)","(67, 49)",100,100,0.4,0.25
4370,0.65,0,"(67, 48)","(67, 48)",100,100,0.4,0.25
4369,0.65,0,"(67, 46)","(67, 46)",100,100,0.4,0.25
4368,0.65,0,"(67, 44)","(67, 44)",100,100,0.4,0.25
4367,0.65,0,"(67, 42)","(67, 42)",100,100,0.4,0.25
4366,0.65,0,"(67, 41)","(67, 41)",100,100,0.4,0.25
4365,0.65,0,"(67, 39)","(67, 39)",100,100,0.4,0.25
4364,0.65,0,"(67, 36)","(67, 36)",100,100,0.4,0.25
4363,0.65,0,"(67, 34)","(67, 34)",100,100,0.4,0.25
4362,0.65,0,"(67, 33)","(67, 33)",100,100,0.4,0.25
4361,0.65,0,"(67, 32)","(67, 32)",100,100,0.4,0.25
4360,0.65,0,"(67, 30)","(67, 30)",100,100,0.4,0.25
4359,0.65,0,"(67, 29)","(67, 29)",100,100,0.4,0.25
4358,0.65,0,"(67, 27)","(67, 27)",100,100,0.4,0.25
4357,0.65,0,"(67, 26)","(67, 26)",100,100,0.4,0.25
4355,0.65,0,"(67, 19)","(67, 19)",100,100,0.4,0.25
4330,0.65,0,"(66, 80)","(66, 80)",100,100,0.4,0.25
4329,0.65,0,"(66, 79)","(66, 79)",100,100,0.4,0.25
4328,0.65,0,"(66, 78)","(66, 78)",100,100,0.4,0.25
4301,0.65,0,"(66, 37)","(66, 37)",100,100,0.4,0.25
4300,0.65,0,"(66, 34)","(66, 34)",100,100,0.4,0.25
4299,0.65,0,"(66, 33)","(66, 33)",100,100,0.4,0.25
