,density,Run,AgentId,Posição,height,width,fireman
0,0.65,0,"(0, 2)","(0, 2)",100,100,0.7
4316,0.65,0,"(67, 5)","(67, 5)",100,100,0.7
4315,0.65,0,"(67, 4)","(67, 4)",100,100,0.7
4314,0.65,0,"(67, 0)","(67, 0)",100,100,0.7
4313,0.65,0,"(66, 98)","(66, 98)",100,100,0.7
4312,0.65,0,"(66, 97)","(66, 97)",100,100,0.7
4311,0.65,0,"(66, 96)","(66, 96)",100,100,0.7
4310,0.65,0,"(66, 95)","(66, 95)",100,100,0.7
4309,0.65,0,"(66, 94)","(66, 94)",100,100,0.7
4308,0.65,0,"(66, 93)","(66, 93)",100,100,0.7
4307,0.65,0,"(66, 92)","(66, 92)",100,100,0.7
4306,0.65,0,"(66, 91)","(66, 91)",100,100,0.7
4305,0.65,0,"(66, 90)","(66, 90)",100,100,0.7
4304,0.65,0,"(66, 89)","(66, 89)",100,100,0.7
4303,0.65,0,"(66, 85)","(66, 85)",100,100,0.7
4302,0.65,0,"(66, 83)","(66, 83)",100,100,0.7
4301,0.65,0,"(66, 80)","(66, 80)",100,100,0.7
4300,0.65,0,"(66, 79)","(66, 79)",100,100,0.7
4299,0.65,0,"(66, 78)","(66, 78)",100,100,0.7
4298,0.65,0,"(66, 76)","(66, 76)",100,100,0.7
4297,0.65,0,"(66, 74)","(66, 74)",100,100,0.7
4296,0.65,0,"(66, 73)","(66, 73)",100,100,0.7
4317,0.65,0,"(67, 6)","(67, 6)",100,100,0.7
4295,0.65,0,"(66, 71)","(66, 71)",100,100,0.7
4318,0.65,0,"(67, 7)","(67, 7)",100,100,0.7
4320,0.65,0,"(67, 12)","(67, 12)",100,100,0.7
4341,0.65,0,"(67, 44)","(67, 44)",100,100,0.7
4340,0.65,0,"(67, 42)","(67, 42)",100,100,0.7
4339,0.65,0,"(67, 41)","(67, 41)",100,100,0.7
4338,0.65,0,"(67, 40)","(67, 40)",100,100,0.7
4337,0.65,0,"(67, 38)","(67, 38)",100,100,0.7
4336,0.65,0,"(67, 36)","(67, 36)",100,100,0.7
4335,0.65,0,"(67, 32)","(67, 32)",100,100,0.7
4334,0.65,0,"(67, 31)","(67, 31)",100,100,0.7
4333,0.65,0,"(67, 30)","(67, 30)",100,100,0.7
4332,0.65,0,"(67, 28)","(67, 28)",100,100,0.7
4331,0.65,0,"(67, 27)","(67, 27)",100,100,0.7
4330,0.65,0,"(67, 26)","(67, 26)",100,100,0.7
4329,0.65,0,"(67, 25)","(67, 25)",100,100,0.7
4328,0.65,0,"(67, 24)","(67, 24)",100,100,0.7
4327,0.65,0,"(67, 23)","(67, 23)",100,100,0.7
4326,0.65,0,"(67, 22)","(67, 22)",100,100,0.7
4325,0.65,0,"(67, 20)","(67, 20)",100,100,0.7
4324,0.65,0,"(67, 19)","(67, 19)",100,100,0.7
4323,0.65,0,"(67, 18)","(67, 18)",100,100,0.7
4322,0.65,0,"(67, 15)","(67, 15)",100,100,0.7
4321,0.65,0,"(67, 13)","(67, 13)",100,100,0.7
4319,0.65,0,"(67, 8)","(67, 8)",100,100,0.7
4294,0.65,0,"(66, 70)","(66, 70)",100,100,0.7
4293,0.65,0,"(66, 69)","(66, 69)",100,100,0.7
4292,0.65,0,"(66, 68)","(66, 68)",100,100,0.7
4265,0.65,0,"(66, 34)","(66, 34)",100,100,0.7
4264,0.65,0,"(66, 32)","(66, 32)",100,100,0.7
4263,0.65,0,"(66, 29)","(66, 29)",100,100,0.7
4262,0.65,0,"(66, 28)","(66, 28)",100,100,0.7
4261,0.65,0,"(66, 25)","(66, 25)",100,100,0.7
4260,0.65,0,"(66, 24)","(66, 24)",100,100,0.7
4259,0.65,0,"(66, 23)","(66, 23)",100,100,0.7
4258,0.65,0,"(66, 21)","(66, 21)",100,100,0.7
4257,0.65,0,"(66, 20)","(66, 20)",100,100,0.7
4256,0.65,0,"(66, 19)","(66, 19)",100,100,0.7
4255,0.65,0,"(66, 15)","(66, 15)",100,100,0.7
4254,0.65,0,"(66, 13)","(66, 13)",100,100,0.7
4253,0.65,0,"(66, 11)","(66, 11)",100,100,0.7
4252,0.65,0,"(66, 10)","(66, 10)",100,100,0.7
4251,0.65,0,"(66, 9)","(66, 9)",100,100,0.7
4250,0.65,0,"(66, 7)","(66, 7)",100,100,0.7
4249,0.65,0,"(66, 4)","(66, 4)",100,100,0.7
4248,0.65,0,"(66, 2)","(66, 2)",100,100,0.7
4247,0.65,0,"(65, 98)","(65, 98)",100,100,0.7
4246,0.65,0,"(65, 96)","(65, 96)",100,100,0.7
4245,0.65,0,"(65, 95)","(65, 95)",100,100,0.7
4266,0.65,0,"(66, 35)","(66, 35)",100,100,0.7
4267,0.65,0,"(66, 36)","(66, 36)",100,100,0.7
4268,0.65,0,"(66, 37)","(66, 37)",100,100,0.7
4269,0.65,0,"(66, 38)","(66, 38)",100,100,0.7
4291,0.65,0,"(66, 67)","(66, 67)",100,100,0.7
4290,0.65,0,"(66, 64)","(66, 64)",100,100,0.7
4289,0.65,0,"(66, 63)","(66, 63)",100,100,0.7
4288,0.65,0,"(66, 62)","(66, 62)",100,100,0.7
4287,0.65,0,"(66, 60)","(66, 60)",100,100,0.7
4286,0.65,0,"(66, 58)","(66, 58)",100,100,0.7
