,density,Run,AgentId,Posição,height,width,fireman
0,0.65,0,"(0, 0)","(0, 0)",100,100,0.45
4333,0.65,0,"(66, 38)","(66, 38)",100,100,0.45
4332,0.65,0,"(66, 33)","(66, 33)",100,100,0.45
4331,0.65,0,"(66, 32)","(66, 32)",100,100,0.45
4330,0.65,0,"(66, 31)","(66, 31)",100,100,0.45
4329,0.65,0,"(66, 29)","(66, 29)",100,100,0.45
4328,0.65,0,"(66, 28)","(66, 28)",100,100,0.45
4327,0.65,0,"(66, 27)","(66, 27)",100,100,0.45
4326,0.65,0,"(66, 26)","(66, 26)",100,100,0.45
4325,0.65,0,"(66, 25)","(66, 25)",100,100,0.45
4324,0.65,0,"(66, 23)","(66, 23)",100,100,0.45
4323,0.65,0,"(66, 22)","(66, 22)",100,100,0.45
4322,0.65,0,"(66, 21)","(66, 21)",100,100,0.45
4321,0.65,0,"(66, 19)","(66, 19)",100,100,0.45
4320,0.65,0,"(66, 18)","(66, 18)",100,100,0.45
4319,0.65,0,"(66, 17)","(66, 17)",100,100,0.45
4318,0.65,0,"(66, 16)","(66, 16)",100,100,0.45
4317,0.65,0,"(66, 15)","(66, 15)",100,100,0.45
4316,0.65,0,"(66, 14)","(66, 14)",100,100,0.45
4315,0.65,0,"(66, 12)","(66, 12)",100,100,0.45
4314,0.65,0,"(66, 11)","(66, 11)",100,100,0.45
4313,0.65,0,"(66, 8)","(66, 8)",100,100,0.45
4334,0.65,0,"(66, 39)","(66, 39)",100,100,0.45
4312,0.65,0,"(66, 6)","(66, 6)",100,100,0.45
4335,0.65,0,"(66, 40)","(66, 40)",100,100,0.45
4337,0.65,0,"(66, 42)","(66, 42)",100,100,0.45
4358,0.65,0,"(66, 74)","(66, 74)",100,100,0.45
4357,0.65,0,"(66, 72)","(66, 72)",100,100,0.45
4356,0.65,0,"(66, 71)","(66, 71)",100,100,0.45
4355,0.65,0,"(66, 70)","(66, 70)",100,100,0.45
4354,0.65,0,"(66, 69)","(66, 69)",100,100,0.45
4353,0.65,0,"(66, 68)","(66, 68)",100,100,0.45
4352,0.65,0,"(66, 67)","(66, 67)",100,100,0.45
4351,0.65,0,"(66, 65)","(66, 65)",100,100,0.45
4350,0.65,0,"(66, 64)","(66, 64)",100,100,0.45
4349,0.65,0,"(66, 63)","(66, 63)",100,100,0.45
4348,0.65,0,"(66, 61)","(66, 61)",100,100,0.45
4347,0.65,0,"(66, 59)","(66, 59)",100,100,0.45
4346,0.65,0,"(66, 58)","(66, 58)",100,100,0.45
4345,0.65,0,"(66, 57)","(66, 57)",100,100,0.45
4344,0.65,0,"(66, 56)","(66, 56)",100,100,0.45
4343,0.65,0,"(66, 55)","(66, 55)",100,100,0.45
4342,0.65,0,"(66, 53)","(66, 53)",100,100,0.45
4341,0.65,0,"(66, 50)","(66, 50)",100,100,0.45
4340,0.65,0,"(66, 49)","(66, 49)",100,100,0.45
4339,0.65,0,"(66, 46)","(66, 46)",100,100,0.45
4338,0.65,0,"(66, 44)","(66, 44)",100,100,0.45
4336,0.65,0,"(66, 41)","(66, 41)",100,100,0.45
4311,0.65,0,"(66, 4)","(66, 4)",100,100,0.45
4310,0.65,0,"(66, 2)","(66, 2)",100,100,0.45
4309,0.65,0,"(66, 1)","(66, 1)",100,100,0.45
4282,0.65,0,"(65, 62)","(65, 62)",100,100,0.45
4281,0.65,0,"(65, 61)","(65, 61)",100,100,0.45
4280,0.65,0,"(65, 58)","(65, 58)",100,100,0.45
