,density,Run,Bombeiro,Densidade,height,width,fireman
0,0.65,0,0.45,0.65,100,100,0.45
1,0.65,1,0.45,0.65,100,100,0.45
2,0.75,2,0.45,0.75,100,100,0.45
3,0.75,3,0.45,0.75,100,100,0.45
4,0.85,4,0.45,0.85,100,100,0.45
5,0.85,5,0.45,0.85,100,100,0.45
6,0.95,6,0.45,0.95,100,100,0.45
7,0.95,7,0.45,0.95,100,100,0.45
