,density,Run,Densidade,Intensidade do Vento,Umidade do Ar,height,width,air_humidity,wind_force
0,0.65,0,0.65,0.2,0.7,100,100,0.7,0.2
1,0.65,1,0.65,0.2,0.7,100,100,0.7,0.2
2,0.75,2,0.75,0.2,0.7,100,100,0.7,0.2
3,0.75,3,0.75,0.2,0.7,100,100,0.7,0.2
4,0.85,4,0.85,0.2,0.7,100,100,0.7,0.2
5,0.85,5,0.85,0.2,0.7,100,100,0.7,0.2
6,0.95,6,0.95,0.2,0.7,100,100,0.7,0.2
7,0.95,7,0.95,0.2,0.7,100,100,0.7,0.2
