,density,Run,AgentId,Posição,height,width,fireman
0,0.65,0,"(0, 2)","(0, 2)",100,100,0.65
4376,0.65,0,"(67, 13)","(67, 13)",100,100,0.65
4375,0.65,0,"(67, 12)","(67, 12)",100,100,0.65
4374,0.65,0,"(67, 11)","(67, 11)",100,100,0.65
4373,0.65,0,"(67, 10)","(67, 10)",100,100,0.65
4372,0.65,0,"(67, 8)","(67, 8)",100,100,0.65
4371,0.65,0,"(67, 6)","(67, 6)",100,100,0.65
4370,0.65,0,"(67, 4)","(67, 4)",100,100,0.65
4369,0.65,0,"(67, 3)","(67, 3)",100,100,0.65
4368,0.65,0,"(67, 2)","(67, 2)",100,100,0.65
4367,0.65,0,"(67, 1)","(67, 1)",100,100,0.65
4366,0.65,0,"(67, 0)","(67, 0)",100,100,0.65
4365,0.65,0,"(66, 99)","(66, 99)",100,100,0.65
4364,0.65,0,"(66, 98)","(66, 98)",100,100,0.65
4363,0.65,0,"(66, 97)","(66, 97)",100,100,0.65
4362,0.65,0,"(66, 96)","(66, 96)",100,100,0.65
4361,0.65,0,"(66, 95)","(66, 95)",100,100,0.65
4360,0.65,0,"(66, 93)","(66, 93)",100,100,0.65
4359,0.65,0,"(66, 92)","(66, 92)",100,100,0.65
4358,0.65,0,"(66, 91)","(66, 91)",100,100,0.65
4357,0.65,0,"(66, 89)","(66, 89)",100,100,0.65
4356,0.65,0,"(66, 88)","(66, 88)",100,100,0.65
4377,0.65,0,"(67, 14)","(67, 14)",100,100,0.65
4378,0.65,0,"(67, 15)","(67, 15)",100,100,0.65
4379,0.65,0,"(67, 17)","(67, 17)",100,100,0.65
4380,0.65,0,"(67, 19)","(67, 19)",100,100,0.65
4402,0.65,0,"(67, 55)","(67, 55)",100,100,0.65
4401,0.65,0,"(67, 53)","(67, 53)",100,100,0.65
4400,0.65,0,"(67, 52)","(67, 52)",100,100,0.65
4399,0.65,0,"(67, 51)","(67, 51)",100,100,0.65
4398,0.65,0,"(67, 50)","(67, 50)",100,100,0.65
4397,0.65,0,"(67, 49)","(67, 49)",100,100,0.65
4396,0.65,0,"(67, 46)","(67, 46)",100,100,0.65
4395,0.65,0,"(67, 45)","(67, 45)",100,100,0.65
4394,0.65,0,"(67, 44)","(67, 44)",100,100,0.65
4393,0.65,0,"(67, 43)","(67, 43)",100,100,0.65
4355,0.65,0,"(66, 84)","(66, 84)",100,100,0.65
4392,0.65,0,"(67, 41)","(67, 41)",100,100,0.65
4390,0.65,0,"(67, 39)","(67, 39)",100,100,0.65
4389,0.65,0,"(67, 38)","(67, 38)",100,100,0.65
4388,0.65,0,"(67, 37)","(67, 37)",100,100,0.65
4387,0.65,0,"(67, 34)","(67, 34)",100,100,0.65
4386,0.65,0,"(67, 31)","(67, 31)",100,100,0.65
4385,0.65,0,"(67, 30)","(67, 30)",100,100,0.65
4384,0.65,0,"(67, 28)","(67, 28)",100,100,0.65
4383,0.65,0,"(67, 26)","(67, 26)",100,100,0.65
4382,0.65,0,"(67, 25)","(67, 25)",100,100,0.65
4381,0.65,0,"(67, 23)","(67, 23)",100,100,0.65
4391,0.65,0,"(67, 40)","(67, 40)",100,100,0.65
4403,0.65,0,"(67, 56)","(67, 56)",100,100,0.65
4354,0.65,0,"(66, 81)","(66, 81)",100,100,0.65
4352,0.65,0,"(66, 77)","(66, 77)",100,100,0.65
4325,0.65,0,"(66, 37)","(66, 37)",100,100,0.65
4324,0.65,0,"(66, 36)","(66, 36)",100,100,0.65
4323,0.65,0,"(66, 34)","(66, 34)",100,100,0.65
4322,0.65,0,"(66, 33)","(66, 33)",100,100,0.65
4321,0.65,0,"(66, 31)","(66, 31)",100,100,0.65
4320,0.65,0,"(66, 29)","(66, 29)",100,100,0.65
4319,0.65,0,"(66, 28)","(66, 28)",100,100,0.65
4318,0.65,0,"(66, 26)","(66, 26)",100,100,0.65
4317,0.65,0,"(66, 25)","(66, 25)",100,100,0.65
4316,0.65,0,"(66, 21)","(66, 21)",100,100,0.65
4315,0.65,0,"(66, 20)","(66, 20)",100,100,0.65
4314,0.65,0,"(66, 19)","(66, 19)",100,100,0.65
4313,0.65,0,"(66, 17)","(66, 17)",100,100,0.65
4312,0.65,0,"(66, 13)","(66, 13)",100,100,0.65
4311,0.65,0,"(66, 10)","(66, 10)",100,100,0.65
4310,0.65,0,"(66, 9)","(66, 9)",100,100,0.65
4309,0.65,0,"(66, 7)","(66, 7)",100,100,0.65
4308,0.65,0,"(66, 5)","(66, 5)",100,100,0.65
4307,0.65,0,"(66, 4)","(66, 4)",100,100,0.65
4306,0.65,0,"(66, 2)","(66, 2)",100,100,0.65
4305,0.65,0,"(66, 0)","(66, 0)",100,100,0.65
4326,0.65,0,"(66, 38)","(66, 38)",100,100,0.65
4327,0.65,0,"(66, 39)","(66, 39)",100,100,0.65
4328,0.65,0,"(66, 40)","(66, 40)",100,100,0.65
4329,0.65,0,"(66, 41)","(66, 41)",100,100,0.65
4351,0.65,0,"(66, 75)","(66, 75)",100,100,0.65
4350,0.65,0,"(66, 73)","(66, 73)",100,100,0.65
4349,0.65,0,"(66, 72)","(66, 72)",100,100,0.65
4348,0.65,0,"(66, 71)","(66, 71)",100,100,0.65
4347,0.65,0,"(66, 70)","(66, 70)",100,100,0.65
4346,0.65,0,"(66, 66)","(66, 66)",100,100,0.65
4345,0.65,0,"(66, 65)","(66, 65)",100,100,0.65
4344,0.65,0,"(66, 64)","(66, 64)",100,100,0.65
4343,0.65,0,"(66, 63)","(66, 63)",100,100,0.65
4342,0.65,0,"(66, 59)","(66, 59)",100,100,0.65
4353,0.65,0,"(66, 79)","(66, 79)",100,100,0.65
4341,0.65,0,"(66, 56)","(66, 56)",100,100,0.65
4339,0.65,0,"(66, 52)","(66, 52)",100,100,0.65
4338,0.65,0,"(66, 51)","(66, 51)",100,100,0.65
4337,0.65,0,"(66, 50)","(66, 50)",100,100,0.65
4336,0.65,0,"(66, 49)","(66, 49)",100,100,0.65
4335,0.65,0,"(66, 48)","(66, 48)",100,100,0.65
4334,0.65,0,"(66, 47)","(66, 47)",100,100,0.65
4333,0.65,0,"(66, 46)","(66, 46)",100,100,0.65
4332,0.65,0,"(66, 45)","(66, 45)",100,100,0.65
4331,0.65,0,"(66, 44)","(66, 44)",100,100,0.65
4330,0.65,0,"(66, 42)","(66, 42)",100,100,0.65
4340,0.65,0,"(66, 55)","(66, 55)",100,100,0.65
4304,0.65,0,"(65, 99)","(65, 99)",100,100,0.65
4404,0.65,0,"(67, 58)","(67, 58)",100,100,0.65
4406,0.65,0,"(67, 63)","(67, 63)",100,100,0.65
4478,0.65,0,"(68, 65)","(68, 65)",100,100,0.65
4477,0.65,0,"(68, 64)","(68, 64)",100,100,0.65
4476,0.65,0,"(68, 60)","(68, 60)",100,100,0.65
4475,0.65,0,"(68, 58)","(68, 58)",100,100,0.65
4474,0.65,0,"(68, 57)","(68, 57)",100,100,0.65
4473,0.65,0,"(68, 55)","(68, 55)",100,100,0.65
4472,0.65,0,"(68, 53)","(68, 53)",100,100,0.65
4471,0.65,0,"(68, 52)","(68, 52)",100,100,0.65
4470,0.65,0,"(68, 51)","(68, 51)",100,100,0.65
4469,0.65,0,"(68, 50)","(68, 50)",100,100,0.65
4468,0.65,0,"(68, 49)","(68, 49)",100,100,0.65
4467,0.65,0,"(68, 48)","(68, 48)",100,100,0.65
4466,0.65,0,"(68, 47)","(68, 47)",100,100,0.65
4465,0.65,0,"(68, 46)","(68, 46)",100,100,0.65
4464,0.65,0,"(68, 45)","(68, 45)",100,100,0.65
4463,0.65,0,"(68, 43)","(68, 43)",100,100,0.65
4462,0.65,0,"(68, 40)","(68, 40)",100,100,0.65
4461,0.65,0,"(68, 39)","(68, 39)",100,100,0.65
4460,0.65,0,"(68, 36)","(68, 36)",100,100,0.65
4459,0.65,0,"(68, 35)","(68, 35)",100,100,0.65
4458,0.65,0,"(68, 33)","(68, 33)",100,100,0.65
4479,0.65,0,"(68, 66)","(68, 66)",100,100,0.65
4480,0.65,0,"(68, 67)","(68, 67)",100,100,0.65
4481,0.65,0,"(68, 68)","(68, 68)",100,100,0.65
4482,0.65,0,"(68, 71)","(68, 71)",100,100,0.65
4504,0.65,0,"(69, 1)","(69, 1)",100,100,0.65
4503,0.65,0,"(68, 98)","(68, 98)",100,100,0.65
4502,0.65,0,"(68, 97)","(68, 97)",100,100,0.65
4501,0.65,0,"(68, 94)","(68, 94)",100,100,0.65
4500,0.65,0,"(68, 93)","(68, 93)",100,100,0.65
4499,0.65,0,"(68, 92)","(68, 92)",100,100,0.65
4498,0.65,0,"(68, 89)","(68, 89)",100,100,0.65
4497,0.65,0,"(68, 88)","(68, 88)",100,100,0.65
4496,0.65,0,"(68, 87)","(68, 87)",100,100,0.65
4495,0.65,0,"(68, 86)","(68, 86)",100,100,0.65
4457,0.65,0,"(68, 32)","(68, 32)",100,100,0.65
4494,0.65,0,"(68, 85)","(68, 85)",100,100,0.65
4492,0.65,0,"(68, 83)","(68, 83)",100,100,0.65
4491,0.65,0,"(68, 80)","(68, 80)",100,100,0.65
4490,0.65,0,"(68, 79)","(68, 79)",100,100,0.65
4489,0.65,0,"(68, 78)","(68, 78)",100,100,0.65
4488,0.65,0,"(68, 77)","(68, 77)",100,100,0.65
4487,0.65,0,"(68, 76)","(68, 76)",100,100,0.65
4486,0.65,0,"(68, 75)","(68, 75)",100,100,0.65
4485,0.65,0,"(68, 74)","(68, 74)",100,100,0.65
4484,0.65,0,"(68, 73)","(68, 73)",100,100,0.65
4483,0.65,0,"(68, 72)","(68, 72)",100,100,0.65
4493,0.65,0,"(68, 84)","(68, 84)",100,100,0.65
4405,0.65,0,"(67, 60)","(67, 60)",100,100,0.65
4456,0.65,0,"(68, 30)","(68, 30)",100,100,0.65
4454,0.65,0,"(68, 28)","(68, 28)",100,100,0.65
4427,0.65,0,"(67, 94)","(67, 94)",100,100,0.65
4426,0.65,0,"(67, 91)","(67, 91)",100,100,0.65
4425,0.65,0,"(67, 89)","(67, 89)",100,100,0.65
4424,0.65,0,"(67, 88)","(67, 88)",100,100,0.65
4423,0.65,0,"(67, 86)","(67, 86)",100,100,0.65
4422,0.65,0,"(67, 85)","(67, 85)",100,100,0.65
4421,0.65,0,"(67, 84)","(67, 84)",100,100,0.65
4420,0.65,0,"(67, 82)","(67, 82)",100,100,0.65
4419,0.65,0,"(67, 81)","(67, 81)",100,100,0.65
4418,0.65,0,"(67, 79)","(67, 79)",100,100,0.65
4417,0.65,0,"(67, 77)","(67, 77)",100,100,0.65
4416,0.65,0,"(67, 76)","(67, 76)",100,100,0.65
4415,0.65,0,"(67, 75)","(67, 75)",100,100,0.65
4414,0.65,0,"(67, 74)","(67, 74)",100,100,0.65
4413,0.65,0,"(67, 73)","(67, 73)",100,100,0.65
4412,0.65,0,"(67, 70)","(67, 70)",100,100,0.65
4411,0.65,0,"(67, 69)","(67, 69)",100,100,0.65
4410,0.65,0,"(67, 68)","(67, 68)",100,100,0.65
4409,0.65,0,"(67, 66)","(67, 66)",100,100,0.65
4408,0.65,0,"(67, 65)","(67, 65)",100,100,0.65
