,density,Run,Bombeiro,Densidade,height,width,fireman
0,0.65,0,0.3,0.65,100,100,0.3
1,0.65,1,0.3,0.65,100,100,0.3
2,0.75,2,0.3,0.75,100,100,0.3
3,0.75,3,0.3,0.75,100,100,0.3
4,0.85,4,0.3,0.85,100,100,0.3
5,0.85,5,0.3,0.85,100,100,0.3
6,0.95,6,0.3,0.95,100,100,0.3
7,0.95,7,0.3,0.95,100,100,0.3
