,density,Run,Densidade,Intensidade do Vento,Umidade do Ar,height,width,air_humidity,wind_force
0,0.65,0,0.65,0.15,0.8,100,100,0.8,0.15
1,0.65,1,0.65,0.15,0.8,100,100,0.8,0.15
2,0.75,2,0.75,0.15,0.8,100,100,0.8,0.15
3,0.75,3,0.75,0.15,0.8,100,100,0.8,0.15
4,0.85,4,0.85,0.15,0.8,100,100,0.8,0.15
5,0.85,5,0.85,0.15,0.8,100,100,0.8,0.15
6,0.95,6,0.95,0.15,0.8,100,100,0.8,0.15
7,0.95,7,0.95,0.15,0.8,100,100,0.8,0.15
